STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
CMSA	H	20230507	25990101	145.6916	-31.5375	AU	-12345	-12345	1494.04	400000	1	BHE	sts2.paz		
CMSA	H	20230507	25990101	145.6916	-31.5375	AU	-12345	-12345	1494.04	400000	1	BHN	sts2.paz		
CMSA	H	20230507	25990101	145.6916	-31.5375	AU	-12345	-12345	1494.04	400000	1	BHZ	sts2.paz		
CTA	B	19900805	19940805	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHE	cmg-3t-100s.paz	# dummy start	
CTA	B	19900805	19940805	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHN	cmg-3t-100s.paz	# changed gain from 2 - 57.5 (2022-01-26)	
CTA	S	19900805	19940805	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHZ	cmg-3t-100s.paz		
CTA	B	19940805	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHE	cmg-3t-100s.paz	# wrong chan code - guess start date based on Ellalong recording	
CTA	B	19940805	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHN	cmg-3t-100s.paz	# changed gain from 2 - 57.5 (2022-01-26)	
CTA	S	19940805	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHZ	cmg-3t-100s.paz		
CTA	B	19941024	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHE	cmg-3t-100s.paz		
CTA	B	19941024	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHN	cmg-3t-100s.paz		
CTA	B	19941024	20000828	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHZ	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHE	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHN	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	BHZ	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHE	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHN	cmg-3t-100s.paz		
CTA	B	20000828	20050131	146.25	-20.0876	AU	-12345	-12345	2000	3276.8	57.5	SHZ	cmg-3t-100s.paz		
CTA	B	20050131	20070302	146.25	-20.0876	AU	-12345	-12345	20730.7	1000000	0.5	BHE	cmg-3t-100s.paz		
CTA	B	20050131	20070302	146.25	-20.0876	AU	-12345	-12345	20674.1	1000000	0.5	BHN	cmg-3t-100s.paz		
CTA	B	20050131	20070302	146.25	-20.0876	AU	-12345	-12345	20326.1	1000000	0.5	BHZ	cmg-3t-100s.paz		
CTA	B	20070304	20180704	146.25	-20.0876	AU	-12345	-12345	20730.7	1120000	1	BHE	cmg-3esp-120s.paz		
CTA	B	20070304	20180704	146.25	-20.0876	AU	-12345	-12345	20674.1	1120000	1	BHN	cmg-3esp-120s.paz		
CTA	B	20070304	20180704	146.25	-20.0876	AU	-12345	-12345	20326.1	1120000	1	BHZ	cmg-3esp-120s.paz		
EIDS	B	20070803	25990101	151.0817	-25.3691	AU	-12345	-12345	1494.04	1677721.6	1	BHE	sts2-g3.paz		
EIDS	B	20070803	25990101	151.0817	-25.3691	AU	-12345	-12345	1494.04	1677721.6	1	BHN	sts2-g3.paz		
EIDS	B	20070803	25990101	151.0817	-25.3691	AU	-12345	-12345	1494.04	1677721.6	1	BHZ	sts2-g3.paz		
EIDS	H	20070803	25990101	151.0817	-25.3691	AU	-12345	-12345	1494.04	1677721.6	1	HHE	sts2-g3.paz		
EIDS	H	20070803	25990101	151.0817	-25.3691	AU	-12345	-12345	1494.04	1677721.6	1	HHN	sts2-g3.paz		
